Date,Time,Object ID,Logical ID,Category,Event,Behavior,Confidence,Centroid X,Centroid Y,Snapshot
2026-09-11,01:55:16,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9177,308,223,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0346.jpg
2026-09-11,01:55:17,92,6,person,INTRUSION,CROSSED_RESTRICTED_ZONE,0.1646,366,277,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0347.jpg
2026-09-11,01:55:17,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9258,308,223,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0348.jpg
2026-09-11,01:55:18,92,6,person,INTRUSION,CROSSED_RESTRICTED_ZONE,0.1328,363,278,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0349.jpg
2026-09-11,01:55:19,92,6,person,SUSPICIOUS_ACTIVITY,ERRATIC MOVEMENT | RAPID MOVEMENT,1.0000,475,222,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\suspicious_0032.jpg
2026-09-11,01:55:19,4,1,person,SUSPICIOUS_ACTIVITY,ERRATIC MOVEMENT,1.0000,201,243,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\suspicious_0033.jpg
2026-09-11,01:55:19,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9186,308,223,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0350.jpg
2026-09-11,01:55:19,92,6,person,INTRUSION,CROSSED_RESTRICTED_ZONE,0.1294,360,279,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0351.jpg
2026-09-11,01:55:20,92,6,person,INTRUSION,CROSSED_RESTRICTED_ZONE,0.1163,357,281,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0352.jpg
2026-09-11,01:55:20,92,6,person,INTRUSION,CROSSED_RESTRICTED_ZONE,0.1419,353,282,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0353.jpg
